Positive,Negative,Neutral,Compound,Sentiment_Label
0.021,0.306,0.672,0.9817,Positive
0.036,0.014,0.95,-0.4003,Negative
0.0,0.195,0.805,0.7579,Positive
0.0,0.244,0.756,0.4404,Positive
0.109,0.133,0.758,0.5807,Positive
0.067,0.036,0.897,-0.5647,Negative
0.321,0.142,0.537,-0.9902,Negative
0.074,0.151,0.775,0.9824,Positive
0.037,0.349,0.614,0.9045,Positive
0.0,0.0,1.0,0.0,Neutral
0.144,0.109,0.747,-0.1522,Negative
0.243,0.081,0.676,-0.9911,Negative
0.091,0.161,0.748,0.8261,Positive
0.063,0.097,0.84,0.2544,Positive
0.275,0.198,0.526,-0.4404,Negative
0.256,0.1,0.644,-0.9296,Negative
0.125,0.117,0.758,-0.1621,Negative
0.0,0.18,0.82,0.8151,Positive
0.159,0.205,0.636,0.435,Positive
0.022,0.198,0.78,0.9293,Positive
0.0,0.231,0.769,0.743,Positive
0.163,0.044,0.792,-0.9754,Negative
0.146,0.136,0.718,0.1763,Positive
0.029,0.272,0.699,0.999,Positive
0.191,0.131,0.677,-0.1935,Negative
0.09,0.176,0.734,0.976,Positive
0.079,0.208,0.713,0.9898,Positive
0.22,0.093,0.688,-0.5267,Negative
0.09,0.062,0.849,-0.744,Negative
0.044,0.023,0.932,-0.5859,Negative
0.236,0.264,0.5,0.1531,Positive
0.03,0.114,0.856,0.9921,Positive
0.169,0.051,0.78,-0.5787,Negative
0.077,0.114,0.809,0.7263,Positive
0.137,0.056,0.807,-0.7709,Negative
0.16,0.073,0.767,-0.8917,Negative
0.047,0.083,0.87,0.723,Positive
0.032,0.115,0.853,0.6133,Positive
0.161,0.112,0.727,-0.8095,Negative
0.0,0.198,0.802,0.9627,Positive
0.173,0.114,0.713,-0.604,Negative
0.0,0.239,0.761,0.9115,Positive
0.0,0.172,0.828,0.7964,Positive
0.059,0.12,0.821,0.6204,Positive
0.0,0.0,1.0,0.0,Neutral
0.186,0.0,0.814,-0.4939,Negative
0.013,0.009,0.978,-0.1406,Negative
0.252,0.151,0.597,-0.8506,Negative
0.188,0.088,0.724,-0.927,Negative
0.0,0.031,0.969,0.1406,Positive
0.099,0.154,0.747,0.2682,Positive
0.0,0.169,0.831,0.9528,Positive
0.026,0.192,0.782,0.8853,Positive
0.149,0.139,0.712,-0.3811,Negative
0.087,0.113,0.799,0.5909,Positive
0.04,0.244,0.717,0.8605,Positive
0.168,0.083,0.749,-0.9435,Negative
0.313,0.0,0.687,-0.9284,Negative
0.0,0.096,0.904,0.1511,Positive
0.074,0.053,0.873,-0.0852,Negative
0.059,0.111,0.83,0.9349,Positive
0.067,0.023,0.91,-0.6061,Negative
0.092,0.029,0.879,-0.9907,Negative
0.327,0.196,0.477,-0.6588,Negative
0.213,0.09,0.697,-0.9951,Negative
0.381,0.0,0.619,-0.5719,Negative
0.042,0.233,0.726,0.9905,Positive
0.067,0.107,0.826,0.9535,Positive
0.076,0.059,0.864,-0.2493,Negative
0.139,0.16,0.702,0.3612,Positive
0.022,0.111,0.868,0.7891,Positive
0.104,0.129,0.767,0.0617,Positive
0.316,0.0,0.684,-0.5719,Negative
0.06,0.101,0.839,0.9319,Positive
0.079,0.109,0.812,0.5829,Positive
0.091,0.18,0.729,0.4749,Positive
0.024,0.242,0.734,0.9668,Positive
0.126,0.204,0.671,0.851,Positive
